* aws-c-auth 0.9.1 0.9.2 Not updated
    - aws-c-auth: upgrade 0.9.0 -> 0.9.1 | 0.9.1 | U | Default | 2025-09-05
    - aws-c-auth: upgrade 0.8.7 -> 0.9.0 | 0.9.0 | U | Default | 2025-03-26
    - aws-c-auth: upgrade 0.8.6 -> 0.8.7 | 0.8.7 | U | Default | 2025-03-18
    - aws-c-auth: upgrade 0.8.5 -> 0.8.6 | 0.8.6 | U | Default | 2025-03-05
    - aws-c-auth: upgrade 0.8.4 -> 0.8.5 | 0.8.5 | U | Default | 2025-02-13
    - aws-c-auth: upgrade 0.8.3 -> 0.8.4 | 0.8.4 | U | Default | 2025-01-29
    - aws-c-auth: upgrade 0.8.1 -> 0.8.3 | 0.8.3 | U | Default | 2025-01-28
    - aws-c-auth: upgrade 0.8.0 -> 0.8.1 | 0.8.1 | U | Default | 2025-01-22
    - aws-c-auth: upgrade 0.7.31 -> 0.8.0 | 0.8.0 | U | Default | 2024-10-24
    - aws-c-auth: upgrade 0.7.30 -> 0.7.31 | 0.7.31 | U | Default | 2024-09-17
    - aws-c-auth: upgrade 0.7.29 -> 0.7.30 | 0.7.30 | U | Default | 2024-09-13
    - aws-c-auth: upgrade 0.7.28 -> 0.7.29 | 0.7.29 | U | Default | 2024-09-10
    - aws-c-auth: upgrade 0.7.27 -> 0.7.28 | 0.7.28 | U | Default | 2024-09-06
    - aws-c-auth: upgrade 0.7.26 -> 0.7.27 | 0.7.27 | U | Default | 2024-09-04
    - aws-c-auth: upgrade 0.7.25 -> 0.7.26 | 0.7.26 | U | Default | 2024-08-27
    - aws-c-auth: upgrade 0.7.24 -> 0.7.25 | 0.7.25 | U | Default | 2024-08-06
    - aws-c-auth: upgrade 0.7.23 -> 0.7.24 | 0.7.24 | U | Default | 2024-08-01
    - aws-c-auth: upgrade 0.7.22 -> 0.7.23 | 0.7.23 | U | Default | 2024-07-31
    - aws-c-auth: upgrade 0.7.21 -> 0.7.22 | 0.7.22 | U | Default | 2024-05-16
    - aws-c-auth: upgrade 0.7.20 -> 0.7.21 | 0.7.21 | U | Default | 2024-05-14
    - aws-c-auth: upgrade 0.7.19 -> 0.7.20 | 0.7.20 | U | Default | 2024-05-10
    - aws-c-auth: upgrade 0.7.18 -> 0.7.19 | 0.7.19 | U | Default | 2024-05-07
    - aws-c-auth: upgrade 0.7.17 -> 0.7.18 | 0.7.18 | U | Default | 2024-04-19
    - aws-c-auth: upgrade 0.7.16 -> 0.7.17 | 0.7.17 | U | Default | 2024-04-04
    - aws-c-auth: upgrade 0.7.15 -> 0.7.16 | 0.7.16 | U | Default | 2024-02-15
    - aws-c-auth: upgrade 0.7.14 -> 0.7.15 | 0.7.15 | U | Default | 2024-02-09
    - aws-c-auth: upgrade 0.7.12 -> 0.7.14 | 0.7.14 | U | Default | 2024-01-25
    - aws-c-auth: upgrade 0.7.11 -> 0.7.12 | 0.7.12 | U | Default | 2024-01-19
    - aws-c-auth: upgrade 0.7.10 -> 0.7.11 | 0.7.11 | U | Default | 2024-01-09
    - aws-c-auth: upgrade 0.7.8 -> 0.7.10 | 0.7.10 | U | Default | 2024-01-02
    - aws-c-auth: upgrade 0.7.7 -> 0.7.8 | 0.7.8 | U | Default | 2023-11-29
    - aws-c-auth: upgrade 0.7.6 -> 0.7.7 | 0.7.7 | U | Default | 2023-11-16
    - aws-c-auth: upgrade 0.7.5 -> 0.7.6 | 0.7.6 | U | Default | 2023-11-10
    - aws-c-auth: upgrade 0.7.4 -> 0.7.5 | 0.7.5 | U | Default | 2023-10-31
    - aws-c-auth: upgrade 0.7.3 -> 0.7.4 | 0.7.4 | U | Default | 2023-09-26
    - aws-c-auth: upgrade 0.7.2 -> 0.7.3 | 0.7.3 | U | Default | 2023-08-08
    - aws-c-auth: upgrade 0.7.1 -> 0.7.2 | 0.7.2 | U | Default | 2023-07-25
    - aws-c-auth: upgrade 0.7.0 -> 0.7.1 | 0.7.1 | U | Default | 2023-07-19
    - aws-c-auth: upgrade 0.6.29 -> 0.7.0 | 0.7.0 | U | Default | 2023-07-04
    - aws-c-auth: upgrade 0.6.28 -> 0.6.29 | 0.6.29 | U | Default | 2023-06-23
    - aws-c-auth: upgrade 0.6.27 -> 0.6.28 | 0.6.28 | U | Default | 2023-05-16
    - aws-c-auth: upgrade 0.6.26 -> 0.6.27 | 0.6.27 | U | Default | 2023-05-09
    - aws-c-auth: upgrade 0.6.25 -> 0.6.26 | 0.6.26 | U | Default | 2023-03-16
    - aws-c-auth: upgrade 0.6.24 -> 0.6.25 | 0.6.25 | U | Default | 2023-03-02
    - aws-c-auth: upgrade 0.6.22 -> 0.6.24 | 0.6.24 | U | Default | 2023-02-02
    - aws-c-auth: upgrade 0.6.21 -> 0.6.22 | 0.6.22 | U | Default | 2023-01-13
    - aws-c-auth: upgrade 0.6.18 -> 0.6.20 | 0.6.20 | U | Default | 2022-11-11
    - aws-c-auth: upgrade 0.6.17 -> 0.6.18 | 0.6.18 | U | Default | 2022-10-22
    - aws-c-auth: upgrade 0.6.16 -> 0.6.17 | 0.6.17 | U | Default | 2022-09-21
    - aws-c-auth: upgrade 0.6.15 -> 0.6.16 | 0.6.16 | U | Default | 2022-08-30
    - aws-c-auth: upgrade 0.6.14 -> 0.6.15 | 0.6.15 | U | Default | 2022-08-16
    - aws-c-auth: upgrade 0.6.13 -> 0.6.14 | 0.6.14 | U | Default | 2022-07-26
    - aws-c-auth, aws-c-cal, aws-c-common, aws-c-compression, aws-c-event-stream, aws-c-http, aws-c-io, aws-c-iot, aws-c-mqtt, aws-c-s3, aws-checksums, aws-crt-cpp, aws-crt-python, aws-iot-device-sdk-cpp-v2, aws-lc, aws-sdk-cpp, s2n: bump versions and streamline recipe aws-c-sdkutils: added | 0.6.13 | U | Default | 2022-05-12
    - sdk: remove old versions of recipes | 0.4.9 | N | Default | 2022-02-25
    - Update git protocol (#235) | 0.6.1 | U | Default | 2021-11-04
    - Update git protocol (#235) | 0.4.9 | U | Default | 2021-11-04
* aws-c-cal 0.9.4 0.9.13 Not updated
    - aws-c-cal: upgrade 0.9.3 -> 0.9.4 | 0.9.4 | U | Default | 2025-10-14
    - aws-c-cal: upgrade 0.9.2 -> 0.9.3 | 0.9.3 | U | Default | 2025-09-19
    - aws-c-cal: upgrade 0.9.1 -> 0.9.2 | 0.9.2 | U | Default | 2025-06-05
    - aws-c-cal: upgrade 0.9.0 -> 0.9.1 | 0.9.1 | U | Default | 2025-05-21
    - aws-c-cal: upgrade 0.8.9 -> 0.9.0 | 0.9.0 | U | Default | 2025-04-15
    - aws-c-cal: upgrade 0.8.8 -> 0.8.9 | 0.8.9 | U | Default | 2025-04-02
    - aws-c-cal: upgrade 0.8.7 -> 0.8.8 | 0.8.8 | U | Default | 2025-03-25
    - aws-c-cal: upgrade 0.8.6 -> 0.8.7 | 0.8.7 | U | Default | 2025-03-18
    - aws-c-cal: upgrade 0.8.5 -> 0.8.6 | 0.8.6 | U | Default | 2025-03-14
    - aws-c-cal: upgrade 0.8.3 -> 0.8.5 | 0.8.5 | U | Default | 2025-03-05
    - aws-c-cal: upgrade 0.8.1 -> 0.8.3 | 0.8.3 | U | Default | 2025-01-30
    - aws-c-cal: upgrade 0.8.0 -> 0.8.1 | 0.8.1 | U | Default | 2024-11-19
    - aws-c-cal: upgrade 0.7.4 -> 0.8.0 | 0.8.0 | U | Default | 2024-10-24
    - aws-c-cal: upgrade 0.7.3 -> 0.7.4 | 0.7.4 | U | Default | 2024-08-27
    - aws-c-cal: upgrade 0.7.2 -> 0.7.3 | 0.7.3 | U | Default | 2024-08-13
    - aws-c-cal: upgrade 0.7.1 -> 0.7.2 | 0.7.2 | U | Default | 2024-07-17
    - aws-c-cal: upgrade 0.7.0 -> 0.7.1 | 0.7.1 | U | Default | 2024-07-04
    - aws-c-cal: upgrade 0.6.15 -> 0.7.0 | 0.7.0 | U | Default | 2024-06-25
    - aws-c-cal: upgrade 0.6.14 -> 0.6.15 | 0.6.15 | U | Default | 2024-05-30
    - aws-c-cal: upgrade 0.6.13 -> 0.6.14 | 0.6.14 | U | Default | 2024-05-21
    - aws-c-cal: upgrade 0.6.12 -> 0.6.13 | 0.6.13 | U | Default | 2024-05-09
    - aws-c-cal: upgrade 0.6.11 -> 0.6.12 | 0.6.12 | U | Default | 2024-04-30
    - aws-c-cal: upgrade 0.6.10 -> 0.6.11 | 0.6.11 | U | Default | 2024-04-04
    - aws-c-cal: upgrade 0.6.9 -> 0.6.10 | 0.6.10 | U | Default | 2024-02-15
    - aws-c-cal: upgrade 0.6.7 -> 0.6.9 | 0.6.9 | U | Default | 2023-10-31
    - aws-c-cal: upgrade 0.6.6 -> 0.6.7 | 0.6.7 | U | Default | 2023-10-19
    - aws-c-cal: upgrade 0.6.5 -> 0.6.6 | 0.6.6 | U | Default | 2023-10-17
    - aws-c-cal: upgrade 0.6.2 -> 0.6.5 | 0.6.5 | U | Default | 2023-10-13
    - aws-c-cal: upgrade 0.6.1 -> 0.6.2 | 0.6.2 | U | Default | 2023-08-24
    - aws-c-cal: upgrade 0.6.0 -> 0.6.1 | 0.6.1 | U | Default | 2023-07-19
    - aws-c-cal: upgrade 0.5.27 -> 0.6.0 | 0.6.0 | U | Default | 2023-07-04
    - aws-c-cal: upgrade 0.5.26 -> 0.5.27 | 0.5.27 | U | Default | 2023-05-16
    - aws-c-cal: upgrade 0.5.24 -> 0.5.26 | 0.5.26 | U | Default | 2023-04-21
    - aws-c-cal: upgrade 0.5.23 -> 0.5.24 | 0.5.24 | U | Default | 2023-04-14
    - aws-c-cal: upgrade 0.5.21 -> 0.5.23 | 0.5.23 | U | Default | 2023-04-13
    - aws-c-cal: upgrade 0.5.20 -> 0.5.21 | 0.5.21 | U | Default | 2023-03-02
    - aws-c-cal: upgrade 0.5.19 -> 0.5.20 | 0.5.20 | U | Default | 2022-10-07
    - aws-c-cal: upgrade 0.5.18 -> 0.5.19 | 0.5.19 | U | Default | 2022-08-30
    - aws-c-cal: upgrade 0.5.17 -> 0.5.18 | 0.5.18 | U | Default | 2022-08-11
    - aws-c-auth, aws-c-cal, aws-c-common, aws-c-compression, aws-c-event-stream, aws-c-http, aws-c-io, aws-c-iot, aws-c-mqtt, aws-c-s3, aws-checksums, aws-crt-cpp, aws-crt-python, aws-iot-device-sdk-cpp-v2, aws-lc, aws-sdk-cpp, s2n: bump versions and streamline recipe aws-c-sdkutils: added | 0.5.17 | U | Default | 2022-05-12
    - sdk: remove old versions of recipes | 0.4.5 | N | Default | 2022-02-25
    - Update git protocol (#235) | 0.5.11 | U | Default | 2021-11-04
    - Update git protocol (#235) | 0.4.5 | U | Default | 2021-11-04
* aws-c-common 0.12.5 0.12.6 Not updated
    - aws-c-common: upgrade 0.12.4 -> 0.12.5 | 0.12.5 | U | Default | 2025-09-19
    - aws-c-common: upgrade 0.12.3 -> 0.12.4 | 0.12.4 | U | Default | 2025-07-17
    - aws-c-common: upgrade 0.12.2 -> 0.12.3 | 0.12.3 | U | Default | 2025-05-13
    - aws-c-common: upgrade 0.12.1 -> 0.12.2 | 0.12.2 | U | Default | 2025-03-27
    - aws-c-common: upgrade 0.12.0 -> 0.12.1 | 0.12.1 | U | Default | 2025-03-18
    - aws-c-common: upgrade 0.11.3 -> 0.12.0 | 0.12.0 | U | Default | 2025-03-14
    - aws-c-common: upgrade 0.11.2 -> 0.11.3 | 0.11.3 | U | Default | 2025-03-13
    - aws-c-common: upgrade 0.11.1 -> 0.11.2 | 0.11.2 | U | Default | 2025-03-05
    - aws-c-common: upgrade 0.11.0 -> 0.11.1 | 0.11.1 | U | Default | 2025-02-13
    - aws-c-common: upgrade 0.10.9 -> 0.11.0 | 0.11.0 | U | Default | 2025-01-29
    - aws-c-common: upgrade 0.10.7 -> 0.10.9 | 0.10.9 | U | Default | 2025-01-28
    - aws-c-common: upgrade 0.10.6 -> 0.10.7 | 0.10.7 | U | Default | 2025-01-24
    - aws-c-common: upgrade 0.10.5 -> 0.10.6 | 0.10.6 | U | Default | 2024-12-11
    - aws-c-common: upgrade 0.10.4 -> 0.10.5 | 0.10.5 | U | Default | 2024-12-04
    - aws-c-common: upgrade 0.10.3 -> 0.10.4 | 0.10.4 | U | Default | 2024-11-28
    - aws-c-common: upgrade 0.10.0 -> 0.10.3 | 0.10.3 | U | Default | 2024-11-14
    - aws-c-common: upgrade 0.9.31 -> 0.10.0 | 0.10.0 | U | Default | 2024-10-24
    - aws-c-common: upgrade 0.9.30 -> 0.9.31 | 0.9.31 | U | Default | 2024-10-22
    - aws-c-common: upgrade 0.9.29 -> 0.9.30 | 0.9.30 | U | Default | 2024-10-17
    - aws-c-common: upgrade 0.9.28 -> 0.9.29 | 0.9.29 | U | Default | 2024-10-15
    - aws-c-common: upgrade 0.9.27 -> 0.9.28 | 0.9.28 | U | Default | 2024-09-10
    - aws-c-common: upgrade 0.9.26 -> 0.9.27 | 0.9.27 | U | Default | 2024-08-14
    - aws-c-common: upgrade 0.9.25 -> 0.9.26 | 0.9.26 | U | Default | 2024-08-13
    - aws-c-common: upgrade 0.9.24 -> 0.9.25 | 0.9.25 | U | Default | 2024-08-06
    - aws-c-common: upgrade 0.9.23 -> 0.9.24 | 0.9.24 | U | Default | 2024-07-25
    - aws-c-common: upgrade 0.9.21 -> 0.9.23 | 0.9.23 | U | Default | 2024-06-21
    - aws-c-common: upgrade 0.9.20 -> 0.9.21 | 0.9.21 | U | Default | 2024-06-06
    - aws-c-common: upgrade 0.9.19 -> 0.9.20 | 0.9.20 | U | Default | 2024-06-05
    - aws-c-common: upgrade 0.9.18 -> 0.9.19 | 0.9.19 | U | Default | 2024-05-14
    - aws-c-common: upgrade 0.9.17 -> 0.9.18 | 0.9.18 | U | Default | 2024-05-09
    - aws-c-common: upgrade 0.9.15 -> 0.9.17 | 0.9.17 | U | Default | 2024-04-23
    - aws-c-common: upgrade 0.9.14 -> 0.9.15 | 0.9.15 | U | Default | 2024-04-03
    - aws-c-common: upgrade 0.9.13 -> 0.9.14 | 0.9.14 | U | Default | 2024-03-06
    - aws-c-common: upgrade 0.9.12 -> 0.9.13 | 0.9.13 | U | Default | 2024-02-15
    - aws-c-common: upgrade 0.9.11 -> 0.9.12 | 0.9.12 | U | Default | 2024-01-02
    - aws-c-common: upgrade 0.9.10 -> 0.9.11 | 0.9.11 | U | Default | 2023-12-29
    - aws-c-common: upgrade 0.9.9 -> 0.9.10 | 0.9.10 | U | Default | 2023-11-17
    - aws-c-common: upgrade 0.9.8 -> 0.9.9 | 0.9.9 | U | Default | 2023-11-14
    - aws-c-common: upgrade 0.9.6 -> 0.9.8 | 0.9.8 | U | Default | 2023-11-08
    - aws-c-common: upgrade 0.9.5 -> 0.9.6 | 0.9.6 | U | Default | 2023-11-01
    - aws-c-common: upgrade 0.9.4 -> 0.9.5 | 0.9.5 | U | Default | 2023-10-31
    - aws-c-common: upgrade 0.9.3 -> 0.9.4 | 0.9.4 | U | Default | 2023-09-27
    - aws-c-common: upgrade 0.9.2 -> 0.9.3 | 0.9.3 | U | Default | 2023-09-05
    - aws-c-common: upgrade 0.9.1 -> 0.9.2 | 0.9.2 | U | Default | 2023-09-04
    - aws-c-common: upgrade 0.9.0 -> 0.9.1 | 0.9.1 | U | Default | 2023-08-24
