* chromium-x11 132.0.6834.83  Unknown
    - chromium: Update to 132.0.6834.83 (#867) | 132.0.6834.83 | U | Default | 2025-02-20
    - chromium: Update to 131.0.6778.139 (#861) | 131.0.6778.139 | U | Default | 2024-12-18
    - chromium: Update to 131.0.6778.85 (#852) | 131.0.6778.85 | U | Default | 2024-12-09
    - chromium: Update to 130.0.6723.91 (#846) | 130.0.6723.91 | U | Default | 2024-11-04
    - chromium: Update to 130.0.6723.58 (#844) | 130.0.6723.58 | U | Default | 2024-10-29
    - chromium: Update to 129.0.6668.100 (#840) | 129.0.6668.100 | U | Default | 2024-10-10
    - chromium: Update to 129.0.6668.70 (#838) | 129.0.6668.70 | U | Default | 2024-10-09
    - chromium: Update to 128.0.6613.137 (#836) | 128.0.6613.137 | U | Default | 2024-09-12
    - chromium: Update to 128.0.6613.119 (#833) | 128.0.6613.119 | U | Default | 2024-09-04
    - chromium: Update to 128.0.6613.84 (#832) | 128.0.6613.84 | U | Default | 2024-09-03
    - chromium: Update to 127.0.6533.99 (#828) | 127.0.6533.99 | U | Default | 2024-08-20
    - chromium: Update to 126.0.6478.126 (#826) | 126.0.6478.126 | U | Default | 2024-07-04
    - chromium: Update to 125.0.6422.141 (#824) | 125.0.6422.141 | U | Default | 2024-06-25
    - chromium: Update to 124.0.6367.207 (#819) | 124.0.6367.207 | U | Default | 2024-06-17
    - chromium: Update to 123.0.6312.122 (#806) | 123.0.6312.122 | U | Default | 2024-05-22
    - chromium: Update to 122.0.6261.128 (#803) | 122.0.6261.128 | U | Default | 2024-04-15
    - chromium: Update to 121.0.6167.184 (#791) | 121.0.6167.184 | U | Default | 2024-03-20
    - chromium: Update to 120.0.6099.224 (#783) | 120.0.6099.224 | U | Default | 2024-01-23
    - chromium: update to 120.0.6099.199 (#780) | 120.0.6099.199 | U | Default | 2024-01-09
    - chromium: update to 120.0.6099.109 (#777) | 120.0.6099.109 | U | Default | 2024-01-08
    - chromium: update to 119.0.6045.199 (#776) | 119.0.6045.199 | U | Default | 2023-12-12
    - chromium: update to 119.0.6045.159 (#771) | 119.0.6045.159 | U | Default | 2023-11-20
    - chromium: update to 118.0.5993.117 (#768) | 118.0.5993.117 | U | Default | 2023-11-14
    - chromium: update to 117.0.5938.132 (#757) | 117.0.5938.132 | U | Default | 2023-10-30
    - chromium: update to 116.0.5845.187 (#758) | 116.0.5845.187 | U | Default | 2023-10-05
    - chromium: update to 116.0.5845.179 (#750) | 116.0.5845.179 | U | Default | 2023-09-13
    - chromium: update to 115.0.5790.170 (#741) | 115.0.5790.170 | U | Default | 2023-09-11
    - chromium: Update to 114.0.5735.198 | 114.0.5735.198 | U | Default | 2023-07-04
    - chromium: Update to 114.0.5735.133 | 114.0.5735.133 | U | Default | 2023-06-26
    - chromium: update to 113.0.5672.126 | 113.0.5672.126 | U | Default | 2023-06-12
    - chromium: update to 112.0.5615.165 | 112.0.5615.165 | U | Default | 2023-05-18
    - Update to 112.0.5615.121 | 112.0.5615.121 | U | Default | 2023-05-18
    - chromium: update to 112.0.5615.49 | 112.0.5615.49 | U | Default | 2023-05-18
    - chromium: update to 111.0.5563.147 (#705) | 111.0.5563.147 | U | Default | 2023-04-11
    - chromium: update to 111.0.5563.64 | 111.0.5563.64 | U | Default | 2023-03-17
    - chromium: update to 110.0.5481.77 | 110.0.5481.77 | U | Default | 2023-02-24
    - chromium: update to 109.0.5414.74 | 109.0.5414.74 | U | Default | 2023-01-21
    - chromium: update to 106.0.5249.119 | 106.0.5249.119 | U | Default | 2022-11-01
    - chromium: update to 105.0.5195.102 | 105.0.5195.102 | U | Default | 2022-09-14
    - chromium: update from 103.0.5060.129 to 104.0.5112.101 | 104.0.5112.101 | U | Default | 2022-08-30
    - chromium: update from 101.0.4951.54 to 103.0.5060.129 | 103.0.5060.129 | U | Default | 2022-07-26
    - chromium: update to 101.0.4951.54 | 101.0.4951.54 | U | Default | 2022-05-10
    - chromium: update to 101.0.4951.41 | 101.0.4951.41 | U | Default | 2022-05-04
    - chromium: update to 100.0.4896.127 | 100.0.4896.127 | U | Default | 2022-04-25
    - chromium: update to 100.0.4896.88 | 100.0.4896.88 | U | Default | 2022-04-14
    - chromium: update to 100.0.4896.60 | 100.0.4896.60 | U | Default | 2022-04-12
    - WIP: chromium: update to 98.0.4758.102 | 98.0.4758.102 | U | Default | 2022-03-07
    - chromium: update to 97.0.4692.71 | 97.0.4692.71 | U | Default | 2022-02-17
    - chromium: update to 96.0.4664.110 | 96.0.4664.110 | U | Default | 2021-12-17
    - chromium: update to 96.0.4664.45 | 96.0.4664.45 | U | Default | 2021-11-24
    - chromium: update to 95.0.4638.69 | 95.0.4638.69 | U | Default | 2021-11-12
    - chromium: update to 94.0.4606.71 | 94.0.4606.71 | U | Default | 2021-10-07
    - chromium: use python3 and remove dependency on meta-python2 | 94.0.4606.61 | U | Default | 2021-10-02
