* bcc 0.33.0+git 0.35.0 Not updated
    - bcc: Upgrade to 0.33.0+ | 0.33.0+git | U | Default | 2025-03-22
    - bcc: Upgrade to 0.30.0+ | 0.30.0+git | U | Default | 2024-07-15
    - bcc: Upgrade to 0.29.1 | 0.29.1 | U | Default | 2024-01-23
    - bcc: Upgrade to 0.28.0 | 0.28.0+gitAUTOINC+8422cd449a | U | Default | 2023-07-06
    - bcc: Update to latest tip | 0.26.0+gitAUTOINC+9b5af1b0c1 | U | Default | 2023-03-08
    - bcc: Upgrade to 0.26.0 | 0.26.0+gitAUTOINC+504180036f | U | Default | 2023-01-16
    - bcc: Upgrade to 0.25.0 | 0.25.0+gitAUTOINC+711f03024d | U | Default | 2022-08-14
    - bcc: Upgrade to 0.24.0 | 0.24.0+gitAUTOINC+8f40d6f57a | U | Default | 2022-02-16
    - Initial import at master release start. | 0.20.0+gitAUTOINC+b2a76fa63f | U | Default | 2021-09-25
* bpftrace 0.23.0+git 0.24.0 Not updated
    - bpftrace: Upgrade to 0.23.x branch | 0.23.0+git | U | Default | 2025-03-22
    - bpftrace: Upgrade to 0.21.2+ | 0.21.2+git | U | Default | 2024-09-03
    - bpftrace: Upgrade to 0.20+ and fix with llvm 18 | 0.20.1+git | U | Default | 2024-03-07
    - bpftrace: Upgrade to 0.18.0 | 0.18.0+gite199c7e73da84bff9fe744d1e3402c2b505aa5a2 | U | Default | 2023-07-10
    - bpftrace: Fix build with clang16 | 0.17.0+git70ee22cb14e2eedc5df17e53965824d7381f8e6f | U | Default | 2023-03-20
    - bpftrace: Upgrade to 0.17.0 | 0.17.0+git1326f040a0f88287ccbc8c18fe8956bca4cc225d | U | Default | 2023-03-10
    - bpftrace: Upgrade package to latest master (a277ec4) | 0.16.0+gita277ec42102c463d656df8f64eb2f7e87e322210 | U | Default | 2022-09-29
    - bpftrace: Upgrade package to latest master (475ad59) | 0.16.0+git475ad59c48ba3a85bb58283ea24d41f94d8d8ed6 | U | Default | 2022-09-28
    - bpftrace: Upgrade to 0.16.0 | 0.16.0+gited06d87ef19e0b24a96244b1bf50ef85c3f63a37 | U | Default | 2022-09-07
    - bpftrace: Upgrade to latest master | 0.14.1+git0a318e53343aa51f811183534916a4be65a1871e | U | Default | 2022-02-22
    - bpftrace: Upgrade to 0.14.1 | 0.14.1 | U | Default | 2022-02-14
    - Initial import at master release start. | 0.13.0+git9b929db174be11888f60d16b1b090e4603bc3a51 | U | Default | 2021-09-25
* clang 20.1.2 20.1.2 Up-to-date
