* python3-absl 2.1.0 2.1.0 Up-to-date
    - python3-absl: upgrade 2.0.0 -> 2.1.0 | 2.1.0 | U | Default | 2024-01-23
    - python3-absl: Update version 1.4.0 -> 2.0.0 | 2.0.0 | U | Default | 2023-09-21
    - python3-absl: upgrade 1.3.0 -> 1.4.0 | 1.4.0 | U | Default | 2023-01-17
    - python3-absl: upgrade 1.2.0 -> 1.3.0 | 1.3.0 | U | Default | 2022-10-18
    - python3-absl: upgrade 1.1.0 -> 1.2.0 | 1.2.0 | U | Default | 2022-07-27
    - python3-absl: upgrade 1.0.0 -> 1.1.0 | 1.1.0 | U | Default | 2022-06-30
    - python3-absl: upgrade 0.15.0 -> 1.0.0 | 1.0.0 | U | Default | 2021-11-17
    - python3-absl: upgrade 0.14.1 -> 0.15.0 | 0.15.0 | U | Default | 2021-10-28
    - python3-absl: update 0.14.1 | 0.14.1 | U | Default | 2021-10-18
    - Initial import at master release start. | 0.13.0 | U | Default | 2021-09-24
* python3-aiodns 3.2.0 3.6.1 Not updated
    - python3-aiodns: upgrade 3.1.1 -> 3.2.0 | 3.2.0 | U | Default | 2024-04-18
    - python3-aiodns: upgrade 3.0.0 -> 3.1.1 | 3.1.1 | U | Default | 2023-10-23
    - Add python3-aiodns 3.0.0 | 3.0.0 | U | Default | 2022-07-27
* python3-aiohappyeyeballs 2.6.1 2.6.1 Up-to-date
    - python3-aiohappyeyeballs: upgrade 2.5.0 -> 2.6.1 | 2.6.1 | U | Default | 2025-03-25
    - python3-aiohappyeyeballs: upgrade 2.4.6 -> 2.5.0 | 2.5.0 | U | Default | 2025-03-12
    - python3-aiohappyeyeballs: Upgrade 2.4.4 -> 2.4.6 | 2.4.6 | U | Default | 2025-02-12
    - python3-aiohappyeyeballs: upgrade 2.4.3 -> 2.4.4 | 2.4.4 | U | Default | 2024-12-03
    - python3-aiohappyeyeballs: upgrade 2.4.2 -> 2.4.3 | 2.4.3 | U | Default | 2024-10-14
    - python3-aiohappyeyeballs: upgrade 2.4.0 -> 2.4.2 | 2.4.2 | U | Default | 2024-09-30
    - python3-aiohappyeyeballs: upgrade 2.3.4 -> 2.4.0 | 2.4.0 | U | Default | 2024-08-28
    - python3-aiohappyeyeballs: upgrade 2.3.2 -> 2.3.4 | 2.3.4 | U | Default | 2024-08-09
    - python3-aiohappyeyeballs: add recipe | 2.3.2 | U | Default | 2024-01-29
* python3-aiohttp 3.11.16 3.13.2 Not updated
    - python3-aiohttp: upgrade 3.11.14 -> 3.11.16 | 3.11.16 | U | Default | 2025-04-06
    - python3-aiohttp: upgrade 3.11.13 -> 3.11.14 | 3.11.14 | U | Default | 2025-03-25
    - python3-aiohttp: Upgrade 3.11.12 -> 3.11.13 | 3.11.13 | U | Default | 2025-03-06
    - python3-aiohttp: Upgrade 3.11.11 -> 3.11.12 | 3.11.12 | U | Default | 2025-02-12
    - python3-aiohttp: upgrade 3.11.8 -> 3.11.11 | 3.11.11 | U | Default | 2024-12-22
    - python3-aiohttp: upgrade 3.10.11 -> 3.11.8 | 3.11.8 | U | Default | 2024-12-03
    - python3-aiohttp: 3.10.10 -> 3.10.11 | 3.10.11 | U | Default | 2024-11-20
    - python3-aiohttp: upgrade 3.10.9 -> 3.10.10 | 3.10.10 | U | Default | 2024-10-14
    - python3-aiohttp: Upgrade 3.10.8 -> 3.10.9 | 3.10.9 | U | Default | 2024-10-10
    - python3-aiohttp: upgrade 3.10.5 -> 3.10.8 | 3.10.8 | U | Default | 2024-09-30
    - python3-aiohttp: upgrade 3.10.3 -> 3.10.5 | 3.10.5 | U | Default | 2024-08-28
    - python3-aiohttp: Upgrade 3.10.1 -> 3.10.3 | 3.10.3 | U | Default | 2024-08-13
    - python3-aiohttp: Upgrade 3.10.0 -> 3.10.1 | 3.10.1 | U | Default | 2024-08-09
    - python3-aiohttp: Upgrade 3.9.5 -> 3.10.0 | 3.10.0 | U | Default | 2024-08-02
    - python3-aiohttp: upgrade 3.9.4 -> 3.9.5 | 3.9.5 | U | Default | 2024-05-02
    - python3-aiohttp: upgrade 3.9.3 -> 3.9.4 | 3.9.4 | U | Default | 2024-04-18
    - python3-aiohttp: upgrade 3.9.2 -> 3.9.3 | 3.9.3 | U | Default | 2024-02-01
    - python3-aiohttp: upgrade 3.9.1 -> 3.9.2 | 3.9.2 | U | Default | 2024-01-29
    - python3-aiohttp: upgrade 3.9.0 -> 3.9.1 | 3.9.1 | U | Default | 2023-11-28
    - python3-aiohttp: upgrade 3.8.6 -> 3.9.0 | 3.9.0 | U | Default | 2023-11-22
    - python3-aiohttp: upgrade 3.8.5 -> 3.8.6 | 3.8.6 | U | Default | 2023-10-23
    - python3-aiohttp: upgrade 3.8.4 -> 3.8.5 | 3.8.5 | U | Default | 2023-08-01
    - python3-aiohttp: upgrade 3.8.3 -> 3.8.4 | 3.8.4 | U | Default | 2023-02-27
    - python3-aiohttp: Upgrade 3.8.1 -> 3.8.3 | 3.8.3 | U | Default | 2022-09-27
    - python3-aiohttp: Upgrade 3.8.0 -> 3.8.1 | 3.8.1 | U | Default | 2021-11-16
    - python3-aiohttp: upgrade 3.7.4 -> 3.8.0 | 3.8.0 | U | Default | 2021-11-11
