* apache2 2.4.65  Unknown
    - Merge remote-tracking branch 'base/upstream-walnascar' into WRLINUX_10_25_LTS | 2.4.65 | U | Default | 2025-10-24
    - apache2: patch CVE-2025-54090 | 2.4.64 | D | Default | 2025-10-13
    - Merge remote-tracking branch 'base/upstream-walnascar' into WRLINUX_10_25_LTS | 2.4.65 | U | Default | 2025-09-24
    - apache2: upgrade 2.4.63 -> 2.4.64 | 2.4.64 | D | Default | 2025-09-06
    - apache2: upgrade 2.4.64 -> 2.4.65 | 2.4.65 | U | Default | 2025-08-14
    - apache2: upgrade 2.4.63 -> 2.4.64 | 2.4.64 | U | Default | 2025-08-04
    - apache2: upgrade 2.4.62 -> 2.4.63 | 2.4.63 | U | Default | 2025-02-10
    - apache2: upgrade 2.4.61 -> 2.4.62 | 2.4.62 | U | Default | 2024-08-09
    - apache2: Upgrade 2.4.60 -> 2.4.61 | 2.4.61 | U | Default | 2024-07-16
    - apache2: Upgrade 2.4.59 -> 2.4.60 | 2.4.60 | U | Default | 2024-07-02
    - apache2: Upgrade v2.4.58 -> v2.4.59 | 2.4.59 | U | Default | 2024-04-19
    - apache2: v2.4.57 to v2.4.58 to fix CVE-2023-43622 | 2.4.58 | U | Default | 2023-11-27
    - apache2: upgrade 2.4.56 -> 2.4.57 | 2.4.57 | U | Default | 2023-04-25
    - apache2: upgrade 2.4.55 -> 2.4.56 | 2.4.56 | U | Default | 2023-03-08
    - apache2: upgrade 2.4.54 -> 2.4.55 | 2.4.55 | U | Default | 2023-02-07
    - apache2: upgrade 2.4.53 -> 2.4.54 | 2.4.54 | U | Default | 2022-06-30
    - apache2: upgrade 2.4.52 -> 2.4.53 | 2.4.53 | U | Default | 2022-03-24
    - apache2: upgrade 2.4.51 -> 2.4.52 | 2.4.52 | U | Default | 2021-12-27
    - Apache: Several CVE fixes | 2.4.51 | U | Default | 2021-10-22
    - apache2: upgrade 2.4.48 -> 2.4.49 | 2.4.49 | U | Default | 2021-09-24
    - Initial import at master release start. | 2.4.48 | U | Default | 2021-09-24
* nginx 1.27.4 1.29.3 Not updated
    - nginx: upgrade 1.27.3 to 1.27.4 | 1.27.4 | U | Default | 2025-02-17
    - nginx: upgrade 1.26.2 to 1.26.3 | 1.26.3 | D | Default | 2025-02-17
    - nginx: Upgrade mainline release version 1.27.1 -> 1.27.3 | 1.27.3 | U | Default | 2024-12-10
    - nginx: Upgrade mainline 1.25.3 -> 1.27.1 | 1.27.1 | U | Default | 2024-09-17
    - nginx: Upgrade stable 1.26.0 -> 1.26.2 | 1.26.2 | U | Default | 2024-09-17
    - nginx: add PACKAGECONFIG knobs for fastcgi, scgi and uwsgi | 1.26.0 | U | Default | 2024-07-23
    - recipes: Start WORKDIR -> UNPACKDIR transition | 1.25.3 | D | Default | 2024-05-23
    - nginx: Upgrade stable 1.24.0 -> 1.26.0 | 1.26.0 | U | Default | 2024-05-01
    - nginx: Disable login for www user | 1.24.0 | D | Default | 2024-04-12
    - nginx: add http sub module feature | 1.25.3 | U | Default | 2024-01-19
    - nginx: update versions for both the stable branch and mainline | 1.24.0 | D | Default | 2023-12-14
    - nginx: upgrade 1.25.2 -> 1.25.3 | 1.25.3 | U | Default | 2023-12-14
    - nginx: upgrade 1.25.1 -> 1.25.2 | 1.25.2 | U | Default | 2023-08-27
    - nginx: upgrade 1.24.0 -> 1.25.1 | 1.25.1 | U | Default | 2023-07-21
    - nginx: upgrade to 1.24.0 release | 1.24.0 | U | Default | 2023-07-11
    - nginx: upgrade 1.23.3 -> 1.23.4 | 1.23.4 | U | Default | 2023-04-04
    - nginx: upgrade 1.20.1 -> 1.23.3 | 1.23.3 | U | Default | 2023-03-10
    - Initial import at master release start. | 1.20.1 | U | Default | 2021-09-24
    - Initial import at master release start. | 1.21.1 | U | Default | 2021-09-24
* phpmyadmin 5.2.2 5.2.3 Not updated
    - phpmyadmin: upgrade 5.2.1 -> 5.2.2 | 5.2.2 | U | Default | 2025-02-10
    - phpmyadmin: upgrade 5.2.0 -> 5.2.1 | 5.2.1 | U | Default | 2023-02-24
    - phpmyadmin: upgrade 5.1.3 -> 5.2.0 | 5.2.0 | U | Default | 2022-05-16
    - phpmyadmin: upgrade 5.1.2 -> 5.1.3 | 5.1.3 | U | Default | 2022-02-23
    - phpmyadmin: upgrade 5.1.1 -> 5.1.2 | 5.1.2 | U | Default | 2022-01-25
    - phpmyadmin: upgrade 5.1.0 -> 5.1.1 | 5.1.1 | U | Default | 2021-09-30
    - Initial import at master release start. | 5.1.0 | U | Default | 2021-09-24
* xdebug 3.4.2  Unknown
    - xdebug: Upgrade to 3.4.2 release | 3.4.2 | U | Default | 2025-03-14
    - xdebug: upgrade 3.2.0 -> 3.2.2 | 3.2.2 | U | Default | 2023-11-11
    - xdebug: upgrade 3.1.1 -> 3.2.0 | 3.2.0 | U | Default | 2023-03-11
    - xdebug: upgrade 2.9.5 -> 3.1.1 | 3.1.1 | U | Default | 2021-10-20
    - Initial import at master release start. | 2.9.5 | U | Default | 2021-09-24
